timestamp,room,title
2024-08-26T09:00,6,"Introduction to Python"
2024-08-26T09:00,5,"What is the magic of magic methods in the Python language?"
2024-08-26T11:00,6,"Introduction to NumPy"
2024-08-26T11:00,5,"Decorators - A deep dive"
2024-08-26T14:00,6,"Introduction to matplotlib for data visualization with Python"
2024-08-26T14:00,5,"Probabilistic classification and cost-sensitive learning with scikit-learn"
2024-08-26T16:00,6,"Image Analysis in Python with scikit-image"
2024-08-26T16:00,5,"Using the Array API to write code that runs with NumPy, Cupy, and PyTorch"
2024-08-27T09:00,6,"Introduction to Polars: Fast and readable data analysis"
2024-08-27T09:00,5,"Building robust workflows with strong provenance"
2024-08-27T11:00,6,"Using Wikipedia as a language corpus for NLP"
2024-08-27T11:00,5,"Combining Python and Rust to create Polars plugins"
2024-08-27T14:00,6,"Introduction to machine learning with scikit-learn and pandas"
2024-08-27T14:00,5,"Multi-dimensional arrays with Scipp"
2024-08-27T16:00,6,"A hitchhiker's guide to contributing to open source"
2024-08-27T16:00,5,"sktime - Python toolbox for time series"
